"","mRNA_id","mRNA_log2FC_O3","mRNA_padj_O3","mRNA_GeneSymbol","lncRNA_id","lncRNA_log2FC_O3","lncRNA_padj_O3","lncRNA_GeneSymbol"
"1","ENSG00000002834",-1.15646315032537,1.82642934132709e-33,"LASP1","ENSG00000265784",-1.03531554094083,2.5541016343176e-44,"AC006441.3"
"2","ENSG00000005884",-1.27139798961261,1.26432159608788e-59,"ITGA3","ENSG00000246640",3.15607005559516,1.52083356127269e-114,"PICART1"
"3","ENSG00000007202",-1.12724933563764,2.37720581417904e-25,"KIAA0100","ENSG00000264044",-1.07990220189941,2.19842640763179e-10,"AC005726.2"
"4","ENSG00000008735",1.89431337969588,1.13734451386255e-25,"MAPK8IP2","ENSG00000272940",5.04035158482794,0.000918834208959817,"U62317.3"
"5","ENSG00000009413",1.2168508435033,1.43677031125546e-21,"REV3L","ENSG00000272356",1.25624379394506,4.23342023236717e-20,"AL080317.2"
"6","ENSG00000012779",5.59891168203735,9.28482010899013e-64,"ALOX5","ENSG00000231964",5.47335580403964,3.60396329095787e-05,"AL731567.1"
"7","ENSG00000018280",3.80229169076253,0.00016078264586562,"SLC11A1","ENSG00000273361",-1.40772231171585,0.000255041641709897,"AC021016.3"
"8","ENSG00000024526",-1.19538951595104,1.19486414823155e-56,"DEPDC1","ENSG00000233589",-1.1524100696743,7.30309852579964e-27,"AL138789.1"
"9","ENSG00000026025",-1.51515447646707,1.97282802174793e-113,"VIM","ENSG00000234961",-1.47907014138564,4.0980896347174e-91,"AL133415.1"
"10","ENSG00000026559",1.28584651080682,3.38070235160088e-25,"KCNG1","ENSG00000232358",1.30263315421097,1.00962899028927e-10,"AL050404.1"
"11","ENSG00000028277",1.18964907391695,0.000250656272494842,"POU2F2","ENSG00000259436",4.51305279936004,0.0015565421959945,"AC010247.2"
"12","ENSG00000029534",3.06698829021733,3.19894900099875e-49,"ANK1","ENSG00000253389",5.28096937278745,0.000194365740821357,"AC113133.1"
"13","ENSG00000031003",1.28594277243486,1.00361083975499e-24,"FAM13B","ENSG00000246323",1.52097685910394,5.64833638452863e-08,"AC113382.1"
"14","ENSG00000035687",-1.3090725390646,5.46260750240023e-111,"ADSS","ENSG00000240963",-1.26330244741133,9.51932655401484e-21,"AL645465.1"
"15","ENSG00000047346",1.68497319239677,1.31509291154713e-84,"FAM214A","ENSG00000260618",1.37017223036183,1.57464826487071e-09,"AC025917.1"
"16","ENSG00000055163",4.41607646782455,0,"CYFIP2","ENSG00000253653",4.35989398051636,2.31146471491443e-07,"AC009185.1"
"17","ENSG00000058335",3.16281353415595,6.5197354011736e-24,"RASGRF1","ENSG00000177699",2.51105019298768,5.90569598569152e-07,"AC011944.1"
"18","ENSG00000064300",1.80727933313436,1.31959607797579e-40,"NGFR","ENSG00000249906",1.88640610683473,1.24936411288065e-16,"AC006487.1"
"19","ENSG00000065320",4.13279247969575,5.41638993898911e-70,"NTN1","ENSG00000262966",5.40279571549956,5.79262911717076e-05,"AC005695.1"
"20","ENSG00000068489",-2.26207187454687,7.11432176119595e-75,"PRR11","ENSG00000265415",-2.23658171756675,6.86669573679858e-123,"AC099850.4"
"21","ENSG00000072571",-1.07170997185591,4.33748279766461e-61,"HMMR","ENSG00000251018",-1.01770391724513,3.36091519636043e-16,"HMMR-AS1"
"22","ENSG00000075275",1.15235519899567,5.73072404783692e-20,"CELSR1","ENSG00000234869",2.47693856787067,3.74052678398996e-06,"AL021392.1"
"23","ENSG00000076604",2.30234382537537,2.64286374730766e-301,"TRAF4","ENSG00000265840",2.33952280849585,5.32820546303694e-109,"AC010761.5"
"24","ENSG00000076604",2.30234382537537,2.64286374730766e-301,"TRAF4","ENSG00000265474",1.96440532425898,5.92548974926609e-79,"AC010761.4"
"25","ENSG00000079101",3.28540898383949,1.29215280214267e-25,"CLUL1","ENSG00000266456",2.32125891311462,2.6379038955063e-18,"AP001178.3"
"26","ENSG00000079459",-1.65795490503479,4.95003822594832e-125,"FDFT1","ENSG00000269899",-2.03654594771135,3.76727690304524e-08,"AC025857.2"
"27","ENSG00000080546",3.13396717635495,3.27406695754604e-305,"SESN1","ENSG00000271730",2.99286318300493,3.37591432046113e-78,"AL390208.1"
"28","ENSG00000083123",-1.20126822537431,4.93994968704412e-26,"BCKDHB","ENSG00000272129",-1.26474979176747,0.0012320104688609,"AL359715.3"
"29","ENSG00000085063",-1.59522082889053,9.15928313322533e-95,"CD59","ENSG00000255202",1.71345199717491,0.00134435050718769,"AL049629.1"
"30","ENSG00000085117",2.57907935874151,2.31022059306064e-231,"CD82","ENSG00000255092",4.5959347858909,0.00408418200340455,"AC010768.2"
"31","ENSG00000085117",2.57907935874151,2.31022059306064e-231,"CD82","ENSG00000254693",2.67729393171987,1.32777812437616e-96,"AC010768.1"
"32","ENSG00000085741",5.28543917793581,6.32015013122685e-06,"WNT11","ENSG00000254933",5.00059027435072,0.00139695218531603,"AP000785.1"
