,GeneSymbol,log2FC_CvsO3,padj_CvsO3,lncRNA_symbol
1,IL1RL1,2.57509425179053,5.84033290284397e-18,PINCR
2,ZNF662,2.35043633338759,1.83336845069156e-06,PINCR
3,GSDMC,-3.49659825798939,8.1284456732157e-16,AC096677.2
4,ZNF683,7.2956139787256,9.31433416645488e-09,AL133415.1
5,TSPAN11,3.43778651946521,1.30307269339672e-06,AL133415.1
6,IGFALS,2.93222377662715,5.56377492572617e-05,AL133415.1
7,RP11-166B2.1,3.82560372178633,1.13054199709934e-33,AL354766.2
8,IGF2,2.03068772514971,0.000434755603372917,AL354766.2
9,FSTL4,3.08860333625068,2.32273945708921e-05,AL354766.2
10,TCHH,2.06033682863702,0.00325114533377118,AL354766.2
11,PGPEP1,2.04053163625526,1.06174953636985e-30,LINC01679
12,PSMB11,7.06925471009867,3.78716056982396e-08,LINC01679
13,CELF3,4.49121939903454,3.38342744742931e-11,LINC01679
14,ACHE,5.19193361408618,1.0296101823826e-88,PICART1
15,MEX3B,2.24347486610406,1.22762905567319e-83,PICART1
16,KCNA7,7.24726217085626,1.62519052661186e-08,PICART1
17,VSIG1,3.67096021958095,2.76271172973275e-20,AC010768.1
18,RET,3.07269842957775,0.00329426245485025,AC010768.1
19,STC1,-3.77230053701604,1.01371424556733e-53,AC010768.1
20,LMOD1,2.74111208934031,1.19269375694197e-26,AC010768.1
21,IFNL1,3.1729885606446,3.234320653609e-31,AC010768.1
22,CD82,2.57907935874151,2.31022059306064e-231,AC010768.1
23,SH2D4B,3.80147541570936,1.33494001114971e-05,AC010768.1
24,MDM2,4.85424549514051,0,AC025423.4
25,MYPN,2.10287155498899,5.3746055814484e-05,LINC01629
26,STAB1,3.02183707502414,4.03124741056194e-06,LINC01629
27,OTOG,4.55596589981176,0.00518161897870346,LINC01629
28,PIFO,2.77108759516091,0.00576689404108031,AL158206.1
29,COL6A3,-2.11639059845997,0.000119706881968139,AL158206.1
30,ANKRD24,2.50225212937018,9.81847828948777e-27,AC114947.2
31,DCLK3,4.811760530855,0.00151263493696415,AC114947.2
32,IQSEC3,4.13695457292894,2.17106828345891e-05,AC114947.2
33,APAF1,2.1354743945078,9.3921707307186e-120,AC114947.2
