"","mRNA_id","mRNA_log2FC_OH","mRNA_padj_OH","mRNA_GeneSymbol","lncRNA_id","lncRNA_log2FC_OH","lncRNA_padj_OH","lncRNA_GeneSymbol"
"1","ENSG00000002834",-1.28639055287742,9.72545324764304e-40,"LASP1","ENSG00000265784",-1.1145824264048,1.08706644409004e-48,"AC006441.3"
"2","ENSG00000005187",1.23264002982775,2.93447900980708e-17,"ACSM3","ENSG00000260510",4.80103081953095,0.000965881128531577,"AC004381.1"
"3","ENSG00000005884",-1.26824780915785,5.10366513102665e-59,"ITGA3","ENSG00000246640",2.65643057969945,9.0851771566966e-77,"PICART1"
"4","ENSG00000007202",-1.27390682590951,7.57377527008286e-32,"KIAA0100","ENSG00000264044",-1.20930946989624,1.72763795279179e-12,"AC005726.2"
"5","ENSG00000008735",1.99981951913015,4.11128020204872e-27,"MAPK8IP2","ENSG00000272940",4.65029721144711,0.00315995717952523,"U62317.3"
"6","ENSG00000009413",1.25384896107719,1.11203231218793e-22,"REV3L","ENSG00000272356",1.33318473746529,1.13047287108519e-21,"AL080317.2"
"7","ENSG00000011243",1.27216864527454,2.86901056502985e-107,"AKAP8L","ENSG00000268189",1.28722728066051,1.23982094860397e-29,"AC005785.1"
"8","ENSG00000012779",5.77225515409503,2.92084582360946e-67,"ALOX5","ENSG00000231964",5.87372305568424,9.07413370284609e-06,"AL731567.1"
"9","ENSG00000013297",-1.30027792585264,1.3089786459692e-56,"CLDN11","ENSG00000244738",4.75023958418076,0.0046404857653425,"AC026316.3"
"10","ENSG00000018280",4.22126154981185,2.75286844040228e-05,"SLC11A1","ENSG00000273361",-1.24599768812712,0.00267220929934408,"AC021016.3"
"11","ENSG00000024526",-1.07713507074586,1.08052220659548e-43,"DEPDC1","ENSG00000233589",-1.01083144902537,9.59425063649163e-19,"AL138789.1"
"12","ENSG00000026025",-1.64755501900531,2.11409507319826e-133,"VIM","ENSG00000234961",-1.65079271992103,4.97321759228717e-112,"AL133415.1"
"13","ENSG00000026559",1.11484454372544,1.78236701812032e-18,"KCNG1","ENSG00000232358",1.0356909096899,7.49253090536394e-07,"AL050404.1"
"14","ENSG00000029534",3.41622500663478,2.22919854843967e-60,"ANK1","ENSG00000253389",5.95660204322192,2.32393964645939e-05,"AC113133.1"
"15","ENSG00000031003",1.36456517624953,2.40808374818779e-27,"FAM13B","ENSG00000246323",1.50952403371114,2.07241554884295e-07,"AC113382.1"
"16","ENSG00000035687",-1.17954686525362,2.11489382102953e-85,"ADSS","ENSG00000240963",-1.2111374960393,4.27086717778983e-18,"AL645465.1"
"17","ENSG00000047346",1.64581918738449,3.49098133283205e-77,"FAM214A","ENSG00000260618",1.75488911270163,1.24073941038445e-14,"AC025917.1"
"18","ENSG00000049769",1.63195784278615,5.24880790870729e-21,"PPP1R3F","ENSG00000270012",-1.26804177404481,2.08911913845243e-05,"AC232271.1"
"19","ENSG00000055163",4.64457105690121,0,"CYFIP2","ENSG00000253653",4.41370535093522,2.12958689415754e-07,"AC009185.1"
"20","ENSG00000058335",3.05981359431956,1.49905626439986e-21,"RASGRF1","ENSG00000177699",2.42236421388909,2.96611205363937e-06,"AC011944.1"
"21","ENSG00000064300",1.66502524524816,5.20818637683559e-33,"NGFR","ENSG00000249906",1.71828966140677,5.74095823135488e-13,"AC006487.1"
"22","ENSG00000065320",4.39382258823109,4.96009408913501e-78,"NTN1","ENSG00000262966",5.76622634383126,1.76515261903979e-05,"AC005695.1"
"23","ENSG00000065534",3.65512437214032,1.32165882260606e-151,"MYLK","ENSG00000273123",4.6858566717952,0.00921962930347458,"AC020634.2"
"24","ENSG00000068489",-2.44246830697412,5.63188810845694e-81,"PRR11","ENSG00000265415",-2.33503516297954,4.89804419859779e-112,"AC099850.4"
"25","ENSG00000076604",2.44986416617882,0,"TRAF4","ENSG00000265840",2.61711683857474,2.85377120036561e-135,"AC010761.5"
"26","ENSG00000076604",2.44986416617882,0,"TRAF4","ENSG00000265474",2.03855310267096,4.14100197794656e-81,"AC010761.4"
"27","ENSG00000079101",3.44760455886507,1.89177726701385e-27,"CLUL1","ENSG00000266456",2.42487038928216,3.82871889037397e-19,"AP001178.3"
"28","ENSG00000079459",-1.6690588728447,1.50645007528043e-125,"FDFT1","ENSG00000269899",-2.18883169902269,6.98034189743551e-08,"AC025857.2"
"29","ENSG00000080546",3.21737383069705,0,"SESN1","ENSG00000271730",3.16023078446163,2.42658059026563e-85,"AL390208.1"
"30","ENSG00000085063",-1.20351112836528,1.67734132205842e-53,"CD59","ENSG00000255202",1.63427796074329,0.00340525107207796,"AL049629.1"
"31","ENSG00000085117",2.48732014164423,1.05844181572669e-210,"CD82","ENSG00000255092",5.1278795458882,0.00130383643530553,"AC010768.2"
"32","ENSG00000085117",2.48732014164423,1.05844181572669e-210,"CD82","ENSG00000254693",2.697924681322,6.76738204833001e-95,"AC010768.1"
"33","ENSG00000085741",4.13738534792307,0.000700644773110249,"WNT11","ENSG00000254933",4.71957318630694,0.00340659380610276,"AP000785.1"
"34","ENSG00000086570",-2.75213851823253,1.47760555373941e-46,"FAT2","ENSG00000271795",-1.95406120398304,1.02180698253566e-08,"AC011337.1"
"35","ENSG00000087088",1.54704908712783,3.83949313847942e-82,"BAX","ENSG00000267898",3.07361673321804,6.07103613968933e-09,"AC026803.2"
"36","ENSG00000087494",-1.92198120195485,9.25578026640373e-35,"PTHLH","ENSG00000257042",-1.96178478085433,6.31351614536773e-15,"AC008011.2"
"37","ENSG00000088538",1.68639304149616,0.00442008513381013,"DOCK3","ENSG00000273356",2.16057264463967,8.6679655654698e-07,"LINC02019"
"38","ENSG00000089127",-2.10600127416457,1.03884659338081e-39,"OAS1","ENSG00000257452",-1.51573776110364,0.0010240059522605,"AC004551.1"
"39","ENSG00000091136",-1.42060316630006,9.68743573754673e-131,"LAMB1","ENSG00000273055",-1.14568000244255,0.00036849879873809,"AC005046.2"
"40","ENSG00000095397",2.974511629375,1.02833273304922e-110,"DFNB31","ENSG00000235119",4.03649684275843,0.0069523657111362,"AL138895.1"
"41","ENSG00000099250",-1.90544996735804,5.63784717731427e-61,"NRP1","ENSG00000238258",-1.9198674563948,1.49149973141685e-28,"AL121748.1"
"42","ENSG00000100139",1.76780168407622,4.79669085484628e-88,"MICALL1","ENSG00000272582",4.01484566487818,5.58654339116026e-21,"AL031587.3"
"43","ENSG00000100916",1.03738590953076,8.10313358042803e-26,"BRMS1L","ENSG00000258938",1.05833138267978,4.70418293779384e-08,"AL162311.3"
"44","ENSG00000101624",2.00116553824568,4.97171695642591e-186,"CEP76","ENSG00000267249",1.76459951759418,4.08336442428642e-18,"AP005482.4"
"45","ENSG00000102003",2.89024120810768,1.69389544656894e-18,"SYP","ENSG00000237341",3.67360479332649,0.000125854321631505,"SYP-AS1"
"46","ENSG00000102879",-1.21132347509359,9.42702143267557e-34,"CORO1A","ENSG00000261416",-1.81265811566726,1.2586504275136e-05,"AC012645.3"
"47","ENSG00000102908",1.76601950733792,7.97128782426916e-06,"NFAT5","ENSG00000260772",1.3445458252343,5.14406989799538e-30,"AC012321.1"
"48","ENSG00000103319",-1.52159011316436,2.22151158339188e-32,"EEF2K","ENSG00000261113",-2.25884715285108,1.47560358660362e-13,"AC009034.1"
"49","ENSG00000104689",1.33204364769824,1.37797769161921e-57,"TNFRSF10A","ENSG00000253930",1.37887740207902,3.83273590057093e-31,"TNFRSF10A-AS1"
"50","ENSG00000104805",-1.01518646337384,6.16959658667757e-61,"NUCB1","ENSG00000235191",-1.04965932654831,8.87812313422807e-28,"NUCB1-AS1"
"51","ENSG00000104812",-1.58644941018519,1.86871311263321e-54,"GYS1","ENSG00000267898",3.07361673321804,6.07103613968933e-09,"AC026803.2"
"52","ENSG00000104848",7.42662967630854,7.30523242424799e-09,"KCNA7","ENSG00000268287",1.41290000950762,0.00905938089198894,"AC008687.3"
"53","ENSG00000105355",-1.42327934293088,6.53866453166411e-117,"PLIN3","ENSG00000267484",-1.26138290163178,1.81412893771673e-23,"AC027319.1"
"54","ENSG00000105613",1.2329433276159,2.59450153425014e-10,"MAST1","ENSG00000267424",2.3599655084532,0.00050347131738702,"AC020934.1"
"55","ENSG00000105650",5.60686077950461,9.95486578633928e-132,"PDE4C","ENSG00000268650",5.80600805073912,1.04541585036647e-83,"AC005759.1"
"56","ENSG00000105668",4.10373293256284,2.50548530812787e-11,"UPK1A","ENSG00000226510",2.59522976738176,9.05756563877383e-07,"UPK1A-AS1"
"57","ENSG00000106479",1.11829210908198,8.49821105348158e-09,"ZNF862","ENSG00000273419",1.96403657116772,2.27686402236946e-13,"AC004877.1"
"58","ENSG00000106484",-1.41157384480202,1.32361852341247e-30,"MEST","ENSG00000270823",-1.27853035456125,1.09161129272755e-13,"AC007938.2"
"59","ENSG00000107282",2.10030229163716,2.39139698453629e-05,"APBA1","ENSG00000243888",2.46763795719111,0.000674859219058071,"AL355140.1"
"60","ENSG00000107815",-1.17746026776037,3.80885590565525e-43,"C10orf2","ENSG00000236662",-1.75495839400577,0.00623262597137556,"AL133215.1"
"61","ENSG00000108576",6.53225065801071,2.19916999146593e-09,"SLC6A4","ENSG00000264125",4.7037184456784,7.6697239849541e-05,"AC104984.2"
"62","ENSG00000108602",-1.40414883661294,6.84455337759202e-21,"ALDH3A1","ENSG00000264785",-2.13585946377196,8.07612617490787e-08,"AC005722.4"
