LncRNA name	Synonyms	geneid	ensg_name	refseq_id	position	cancer type	ICD-0-3	ICD-0-3	methods	sample	regulated	function description	pubmed id	year	title	drug	circulating	survival	miR	variant	TF	methylation
6p22lncRNAs	NA	NA	NA	NA	NA	neuroblastoma	NA	M9500/3	qPCR etc.	cell line (SH-SY5Y, IMR32, SK-N-AS, SK-N-BE2)	down-regulated	A pair of sense/antisense lncRNA (6p22lncRNAs) encoded by CASC15 and NBAT1 located at the neuroblastoma (NB) risk-associated 6p22.3 locus are tumor suppressors and show reduced expression in high-risk NBs. Loss of functional synergy between 6p22lncRNAs results in an undifferentiated state that is maintained by a gene-regulatory network, including SOX9 located on 17q, a region frequently gained in NB. 6p22lncRNAs regulate SOX9 expression by controlling CHD7 stability via modulating the cellular localization of USP36, encoded by another 17q gene. This regulatory nexus between 6p22.3 and 17q regions may lead to potential NB treatment strategies. 	29533783	2018	Sense-Antisense lncRNA Pair Encoded by Locus 6p22.3 Determines Neuroblastoma Susceptibility via the USP36-CHD7-SOX9 Regulatory Axis.	0	0	1	0	0	0	0
7SK	RN7SK, 7SK	125050	ENSG00000283293	NR_001445	GRCh38_6:52995621-52995948	hepatocellular carcinoma	C22.0	M8170/3	microarray, qPCR etc.	HCC tissues	up-regulated	The majority (14 out of 17) of these lncRNAs were confirmed to be dysregulated in HCC compared to the surrounding non-tumorous tissues, corroborating the reliability of our profiling data.	27894309	2016	Analysis of long noncoding RNA expression in hepatocellular carcinoma of different viral etiology.	0	0	0	1	0	0	1
7SL	RN7SL1, 7L1a, 7SL, RN7SL, RNSRP1	6029	ENSG00000276168	NR_002715	GRCh38_14:49586580-49586878	breast cancer	C50	NA	qPCR, Western blot, ChIP, Luciferase reporter assay etc.	cell lines (MCF-10A, MCF-7, HeLa, and HCT-116)	differential expression	In this study, we detected that over-expression of FOXP3 repressed the transcription of 7SL RNA and contributed to inhibiting tumor growth. Knock down of FOXP3 in MCF-10A normal mammary breast cells up-regulated the transcription of 7SL RNA. Chromatin Immuno-precipitation (ChIP) analysis showed that FOXP3 directly bound to the Forkhead/HNF-3 domain DNA binding sites (-789 to -795) relative to the transcription start site. Meanwhile, Luciferase analysis showed that FOXP3 repressed the full-length 7SL promoter activity, but this suppressive effect was reversed after mutation of the FOXP3 binding site. Further studies showed that FOXP3 promoted the expression of P53 at translational levels through repressing 7SL RNA.	26718402	2016	Tumor FOXP3 represses the expression of long noncoding RNA 7SL.	0	0	0	1	1	0	0
91H	NA	NA	NA	NA	NA	colorectal cancer	C19.9	NA	qPCR, Western blot	Cell lines (HCT-8, HCT-116 and FHC)	up-regulated	serum lncRNA 91H expression was closely related to cancer exosomes in vitro and vivo which may enhance tumor-cell migration and invasion in tumor development by modifying HNRNPK expression. Then the clinic pathological significance of exosomal 91H was evaluated which demonstrated that CRC patients with high lncRNA 91H expression usually showed a higher risk in tumor recurrence and metastasis than patients with low lncRNA 91H expression (P < 0.05).	29410604	2018	Exosomal lncRNA 91H is associated with poor development in colorectal cancer by modifying HNRNPK expression.	0	1	1	0	0	0	0
91H	NA	NA	NA	NA	NA	breast cancer	C50	NA	qPCR, RNAi, ChIP, Cell proliferation assay etc.	breast cancer tissues, cell lines (T47D, MDA-MB-231)	up-regulated	Here, we observed that 91H, H19 and IGF2 are overexpressed in breast tumors. By using 91H-knockdown breast cancer cells, we demonstrated that 91H exerts oncogenic properties by promoting cell growth, migration and invasion as well as tumor growth in xenografted immunodeficient mouse model. Moreover, 91H-knockdown reduces the expression of H19 and IGF2 in breast cancer cells. By chromatin-immunoprecipitation and methylation studies, we found that 91H expression prevents histone and DNA methylation on the maternal allele at the H19/IGF2 locus.	27780718	2017	The long non-coding RNA 91H increases aggressive phenotype of breast cancer cells and up-regulates H19/IGF2 expression through epigenetic modifications.	0	0	0	0	0	0	1
91H	NA	NA	NA	NA	NA	osteosarcoma	NA	M9180/3	qPCR, Cell transfection, Flow cytometry assay, Cell proliferation assay etc.	osteosarcoma tissues, cell lines (SAOS-2, U2OS, MG63, HOS, hFOB)	up-regulated	Herein, we confirmed that 91H expression was notably increased in osteosarcoma patients and cell lines compared to healthy controls and normal human bone cell lines. High expression of 91H was significantly correlated with advanced clinical stage, chemotherapy after surgery, and tumor size >5 cm. Additionally, the knockdown of 91H expression inhibited osteosarcoma cells' proliferation and promoted their apoptosis in vitro.	27555785	2016	Clinical implication of long noncoding RNA 91H expression profile in osteosarcoma patients.	0	1	1	0	0	0	0
91H	NA	NA	NA	NA	NA	colorectal cancer	C19.9	NA	qPCR, RNAi etc.	CRC tissues, cell lines (HCT8, HT29, HCT116, SW620 etc.)	up-regulated	91H was significantly overexpressed in cancerous tissue and CRC cell lines compared with adjacent normal tissue and a normal human intestinal epithelial cell line. Moreover, 91H overexpression was closely associated with distant metastasis and poor prognosis in patients with CRC, except for CNV of 91H. Multivariate analysis indicated that 91H expression was an independent prognostic indicator, as well as distant metastasis. 91H played an important role in the molecular etiology of CRC and might be regarded as a novel prognosis indicator in patients with CRC.	25058480	2014	Up-regulation of 91H promotes tumor metastasis and predicts poor prognosis for patients with colorectal cancer.	0	0	1	0	0	0	0
AA174084	NA	NA	NA	NA	NA	gastric cancer	C16	NA	qPCR, RIP etc.	gastric cancer tissues	down-regulated	Expression levels of AA174084 were down-regulated significantly in 95 of 134 GC tissues (71%) compared with the levels in paired, adjacent, normal tissues. AA174084 levels had significant, negative correlations with age, Borrmann type, and perineural invasion. Plasma AA174084 levels in patients with GC dropped markedly on day 15 after surgery compared with preoperative levels and were associated with invasion and lymphatic metastasis. AA174084 levels in gastric juice from patients with GC were significantly higher than the levels in normal mucosa or in patients with minimal gastritis, gastric ulcers, and atrophic gastritis. The area under ROC was up to 0.848.	24986041	2014	Gastric juice long noncoding RNA used as a tumor marker for screening gastric cancer.	0	0	1	1	0	0	0
AATBC	AATBC	284837	ENSG00000215458	NR_026961	GRCh38_21:43805758-43812567	bladder cancer	C67	NA	microarray, qPCR, RNAi, in vitro knockdown etc.	bladder cancer tissues	up-regulated	We found that AATBC was overexpressed in bladder cancer patient tissues and positively correlated with tumor grade and pT stage. We also found that inhibition of AATBC resulted in cell proliferation arrest through G1 cell cycle mediated by cyclin D1, CDK4, p18 and phosphorylated Rb. In addition, inhibition of AATBC induced cell apoptosis through the intrinsic apoptosis signaling pathway, as evidenced by the activation of caspase-9 and caspase-3. The investigation for the signaling pathway revealed that the apoptosis following AATBC knockdown was mediated by activation of phosphorylated JNK and suppression of NRF2. 	25473900	2014	Knockdown of a novel LincRNA AATBC suppresses proliferation and induces apoptosis in bladder cancer.	0	0	0	0	0	0	0
AB019562	NA	NA	NA	NA	NA	hypopharyngeal squamous cell carcinoma	C13	M8070/3	microarray, qPCR etc.	primary HSCC tissues	up-regulated	AB209630 expression was significantly lower in carcinomas than in adjacent nontumor tissues. AB019562 expression was significantly higher in carcinomas than in adjacent nontumor tissues.	26131061	2015	Gene microarray analysis of lncRNA and mRNA expression profiles in patients with hypopharyngeal squamous cell carcinoma.	1	0	1	0	0	0	0
AB019562	NA	NA	NA	NA	NA	hepatocellular carcinoma	C22.0	M8170/3	qPCR etc.	HCC tissues, cell lines (SMMC-7721, PLC/PRF/5, C3AHCC, THLE-3)	up-regulated	AB019652 is upregulated in HCC tissues and cultured HCC cells. AB019562 knockdown increased the apoptotic rates of the two cell lines and activated the expression of caspase3, but not caspase8.For patients in the late stage, the introduction of sorafenib can improve survival rates, but remains limited.	28534955	2017	Long non-coding RNA AB019562 promotes cell proliferation and metastasis in human hepatocellular carcinoma.	0	0	1	0	0	0	0
AB073614	NA	NA	NA	NA	GRCh38_3:149173591-149175492	ovarian cancer	C56.9	NA	microarray, qPCR, RNAi, Western blot, Flow cytometry assay etc.	ovarain cancer tissues, cell lines (A2780, Caov3, HO-8910, OVCAR3, SKOV3 etc.)	up-regulated	Results showed that AB073614 expression was significantly up-regulated in 85.3% (64/75) cancerous tissues compared with normal counterparts. Knockdown of AB073614 expression significantly inhibited cell proliferation and invasion, resulted in cell arrest in G1 phase of cell cycle and a dramatic increase of apoptosis. Finally, western blot assays indicated that lncRNA AB073614 may exert its function by targeting ERK1/2 and AKT-mediated signaling pathway. In conclusion, our study suggests that lncRNA AB073614 acts as a functional oncogene in OC development.	26299803	2015	A long noncoding RNA AB073614 promotes tumorigenesis and predicts poor prognosis in ovarian cancer.	0	0	1	1	0	0	0
AB073614	NA	NA	NA	NA	GRCh38_3:149173591-149175492	glioma	NA	M9380/3	qPCR etc.	glioma tissues	up-regulated	The expression of AB073614 was detected in 65 glioma tissues and 13 normal brain tissues by qRT-PCR, showing that lncRNA AB073614 expression was significantly up-regulated in cancerous tissues compared with normal brain tissues, and it was positively correlated with tumor grade in glioma patients. Kaplan-Meier analysis demonstrated that increased AB073614 expression contributed to poor overall survival. Further, univariate Cox regression analysis indicated that lncRNA AB073614 overexpression was an unfavorable prognostic factor in gliomas, regardless of the tumor grade. Finally, after adjustment with age, sex, tumor grade and tumor location, multivariate Cox regression analysis suggested that both highly expressed lncRNA AB073614 and high tumor grade could be considered independent poor prognostic indicators for glioma patients	27104549	2016	Up-Regulation of Long Non-Coding RNA AB073614 Predicts a Poor Prognosis in Patients with Glioma	0	0	1	1	0	0	0
AB073614	NA	NA	NA	NA	GRCh38_3:149173591-149175492	colorectal cancer	C19.9	NA	qPCR,Western blot	colorectal cancer tissues, cell lines (SW480 and HCT116)	up-regulated	lncRNA AB073614 was highly expressed in the colorectal cancer tissues.lncRNA AB073614 can induce the expression of EMT cell markers and regulate the process of EMT of CRC cells through regulating the JAK/STAT3 pathway activation.	29439310	2018	LncRNA AB073614 induces epithelial-mesenchymal transition of colorectal cancer cells via regulating the JAK/STAT3 pathway.	0	0	0	0	0	0	0
AB073614	NA	NA	NA	NA	GRCh38_3:149173591-149175492	colorectal cancer	C19.9	NA	qPCR,Western blot,etc.	colorectal cancer tissues, cell lines (SW480)	up-regulated	Knockdown of AB073614 expression significantly inhibited the proliferation, migration, and invasion of SW480 cells, and resulted in their increased rates of apoptosis and G1 phase cell cycle arrest.	28738539	2017	LncRNA AB073614 regulates proliferation and metastasis of colorectal cancer cells via the PI3K/AKT signaling pathway.	0	0	0	0	0	0	0
