"","Geneid","log2FC_CvsO3","padj_CvsO3","GeneSymbol","biotype"
"1","ENSG000001378082",-1.2380916818005,2.51731459924863e-05,"AC027088.1","lncRNA"
"2","ENSG00000203472",-1.31087594704747,2.49474489192725e-06,"AC009163.1","lncRNA"
"3","ENSG00000204588",-1.81343385302139,1.83328539827427e-06,"LINC01123","lncRNA"
"4","ENSG00000223461",-1.57438834278947,0.0225964138420936,"AC004471.1","lncRNA"
"5","ENSG00000223478",-1.55565298611678,1.42894804030546e-20,"AL441992.2","lncRNA"
"6","ENSG00000223947",-1.1569725854684,5.39753129558956e-10,"AC016738.1","lncRNA"
"7","ENSG00000224459",-1.19085647548779,3.13152650161284e-06,"SLC25A34-AS1","lncRNA"
"8","ENSG00000224821",-1.54456051398847,0.00128917950918991,"COL4A2-AS2","lncRNA"
"9","ENSG00000225675",-1.52702234350384,0.0353384636857093,"LINC01771","lncRNA"
"10","ENSG00000226526",-1.56368747999342,3.80841293232555e-28,"AL049569.1","lncRNA"
"11","ENSG00000227220",-2.74280374316108,1.67357635943529e-74,"AL133346.1","lncRNA"
"12","ENSG00000227279",-1.00213812542647,1.96116042061798e-13,"AC110015.1","lncRNA"
"13","ENSG00000227744",-4.30018292356071,0.000102879235286786,"LINC01940","lncRNA"
"14","ENSG00000228404",-1.62940825786681,5.70677816534471e-07,"AP001468.1","lncRNA"
"15","ENSG00000228485",-4.61324332302806,0.0394625640585927,"GRK5-IT1","lncRNA"
"16","ENSG00000228838",-1.16233218394004,0.00104416028804253,"AL355483.1","lncRNA"
"17","ENSG00000230163",-1.26218328124874,0.000734000425288664,"AL122010.1","lncRNA"
"18","ENSG00000230698",-1.16900110090874,4.4341232740796e-05,"AC105935.2","lncRNA"
"19","ENSG00000231864",-1.47713363974347,1.49912298102112e-32,"AL807752.3","lncRNA"
"20","ENSG00000232220",-1.15924812488144,5.30906372552771e-25,"AC008440.1","lncRNA"
"21","ENSG00000232759",-1.63934694631938,1.79335685894541e-05,"AC002480.1","lncRNA"
"22","ENSG00000232821",-1.0255416017677,0.0208424253903984,"AC003986.2","lncRNA"
"23","ENSG00000233110",-1.93263815882381,0.00624695031021479,"AC093797.1","lncRNA"
"24","ENSG00000233589",-1.1524100696743,7.30309852579964e-27,"AL138789.1","lncRNA"
"25","ENSG00000234076",-2.22283661703696,0.0107186253926435,"TPRG1-AS1","lncRNA"
"26","ENSG00000234961",-1.47907014138564,4.0980896347174e-91,"AL133415.1","lncRNA"
"27","ENSG00000235070",-5.05819400057124,0.000910133078225006,"AC062015.1","lncRNA"
"28","ENSG00000235180",-1.38367136181056,0.0290852462882224,"LINC00601","lncRNA"
"29","ENSG00000235204",-2.59357546929466,0.0295180135009029,"AL162724.2","lncRNA"
"30","ENSG00000235314",-1.29590029809459,0.000943938330263669,"LINC00957","lncRNA"
"31","ENSG00000235837",-1.74335008315542,1.72597161911691e-45,"AC073333.1","lncRNA"
"32","ENSG00000235865",-1.39877185975172,3.91488429648225e-12,"GSN-AS1","lncRNA"
"33","ENSG00000235897",-1.30843901017251,1.12865224261998e-16,"TM4SF19-AS1","lncRNA"
"34","ENSG00000236662",-1.26925774540075,0.029905276999919,"AL133215.1","lncRNA"
"35","ENSG00000237548",-2.02765889300183,1.99745839985638e-06,"TTLL11-IT1","lncRNA"
"36","ENSG00000237655",-1.68248278330108,0.000195806706442611,"AC073834.1","lncRNA"
"37","ENSG00000237768",-1.35577151082092,3.56867694406931e-15,"AL731563.3","lncRNA"
"38","ENSG00000238258",-1.79745830317422,1.28375048953225e-28,"AL121748.1","lncRNA"
"39","ENSG00000239415",-1.74679927207326,1.09055262053086e-11,"AP001469.3","lncRNA"
"40","ENSG00000240032",-1.17635592896856,0.00743888234102552,"LNCSRLR","lncRNA"
"41","ENSG00000240963",-1.26330244741133,9.51932655401484e-21,"AL645465.1","lncRNA"
"42","ENSG00000242396",-2.0786940779131,3.79672115879007e-43,"AC096536.2","lncRNA"
"43","ENSG00000243415",-2.50600434939207,6.22686682313751e-05,"AC107021.1","lncRNA"
"44","ENSG00000243960",-1.26893131768294,2.06670975347406e-65,"AL390195.2","lncRNA"
"45","ENSG00000244158",-1.58116786858657,0.0356033455075771,"Z84488.1","lncRNA"
"46","ENSG00000244161",-1.49543067596243,4.62047841510055e-53,"FLNB-AS1","lncRNA"
"47","ENSG00000245385",-1.16367243702815,3.52956461157805e-22,"AP003396.1","lncRNA"
"48","ENSG00000250186",-1.01910129330732,1.02821121492049e-19,"AC091180.4","lncRNA"
"49","ENSG00000251018",-1.01770391724513,3.36091519636043e-16,"HMMR-AS1","lncRNA"
"50","ENSG00000251169",-3.90074194578765,1.10188183515385e-29,"LINC01843","lncRNA"
"51","ENSG00000251361",-5.60191821113155,0.00155117273581285,"AC012625.1","lncRNA"
"52","ENSG00000253645",-1.12448539231919,6.26454000294877e-22,"AC108863.2","lncRNA"
"53","ENSG00000253837",-1.71225184789251,7.82026228405899e-21,"AC090197.1","lncRNA"
"54","ENSG00000254027",-1.28998436602058,1.74491056216911e-10,"AC009902.2","lncRNA"
"55","ENSG00000254317",-1.92086185636368,1.03533024757568e-07,"AC022973.5","lncRNA"
"56","ENSG00000254568",-1.31177328726297,0.020878911364336,"AP003501.1","lncRNA"
"57","ENSG00000254682",-1.18007721376081,6.08214114734683e-05,"AP002387.2","lncRNA"
"58","ENSG00000254821",-1.16378324703206,0.00328274492158467,"AL136309.3","lncRNA"
"59","ENSG00000254829",-1.13073590254608,1.99676232157214e-24,"AP003032.2","lncRNA"
"60","ENSG00000254910",-2.32875017100392,0.0121205504323579,"AC136475.2","lncRNA"
"61","ENSG00000255327",-5.35667798519944,0.00214423279076379,"LINC02697","lncRNA"
"62","ENSG00000255966",-4.20939056936079,0.0147461897778024,"AC006064.3","lncRNA"
"63","ENSG00000255992",-1.36000979507688,0.000475182408350866,"AC131009.1","lncRNA"
"64","ENSG00000256006",-2.53778538230056,0.00680172324005577,"AC084117.1","lncRNA"
"65","ENSG00000256050",-1.20233994832839,0.00973786927487396,"AL583722.1","lncRNA"
"66","ENSG00000256299",-2.18421123891767,0.0109528504673578,"AC073912.3","lncRNA"
"67","ENSG00000256341",-1.36191294770379,0.00880420018966152,"AP006333.2","lncRNA"
"68","ENSG00000256944",-1.74546864920204,0.00616132363986164,"AP003721.3","lncRNA"
"69","ENSG00000257042",-1.5552374124554,3.6057257513794e-12,"AC008011.2","lncRNA"
"70","ENSG00000257225",-1.59740868783335,3.77444275408253e-60,"AC079601.2","lncRNA"
"71","ENSG00000257452",-1.88271359706477,1.52194246567544e-05,"AC004551.1","lncRNA"
"72","ENSG00000257453",-1.65050987934603,1.25087374810602e-42,"AC011611.3","lncRNA"
"73","ENSG00000257671",-1.61739864945832,3.00411865696136e-81,"KRT7-AS","lncRNA"
"74","ENSG00000257715",-1.13079462588316,1.10452296346163e-21,"AC007298.1","lncRNA"
"75","ENSG00000258086",-1.11287906662176,3.30059184162554e-06,"AC079313.1","lncRNA"
"76","ENSG00000258177",-1.23121037573788,3.98772806837046e-21,"AC008149.1","lncRNA"
