"","Geneid","log2FC_CvsO3","padj_CvsO3","GeneSymbol","biotype"
"1","ENSG00000164621",1.6461503048154,0.000489812308959222,"SMAD5-AS1","lncRNA"
"2","ENSG00000177699",2.51105019298768,5.90569598569152e-07,"AC011944.1","lncRNA"
"3","ENSG00000178977",3.29588587239625,3.14643518412489e-37,"LINC00324","lncRNA"
"4","ENSG00000180422",4.33143854140855,0.0040604627764281,"LINC00304","lncRNA"
"5","ENSG00000185168",1.68459801371232,0.000193051010531875,"LINC00482","lncRNA"
"6","ENSG00000187229",1.47162435114697,1.77033062751361e-08,"AC100800.1","lncRNA"
"7","ENSG00000198358",4.06942069399389,0.0193067466286885,"AL354714.1","lncRNA"
"8","ENSG00000203362",2.39708366803066,7.84993745582212e-19,"POLH-AS1","lncRNA"
"9","ENSG00000204584",1.33141009026923,0.00419468202836756,"AC027801.1","lncRNA"
"10","ENSG00000204666",5.4163776126628,8.72067237482774e-42,"AC010624.1","lncRNA"
"11","ENSG00000205015",4.27733896513974,0.016450277276361,"LINC02138","lncRNA"
"12","ENSG00000205537",1.15251056038355,0.0401403340748474,"AC121338.1","lncRNA"
"13","ENSG00000205890",1.81408974954468,0.00300281036685922,"AC108134.1","lncRNA"
"14","ENSG00000211683",2.84624287079886,0.00137499705834362,"AP000346.1","lncRNA"
"15","ENSG00000212663",3.94360560710197,0.0295543402659503,"AC003035.1","lncRNA"
"16","ENSG00000214184",1.03304276319283,1.1786023864631e-06,"GCC2-AS1","lncRNA"
"17","ENSG00000215403",3.81142833132206,0.0365365225207149,"Z82180.1","lncRNA"
"18","ENSG00000217576",1.46882578703094,1.0943245336711e-43,"AL158066.1","lncRNA"
"19","ENSG00000223475",3.89809792997851,0.0497277047203235,"AC099681.1","lncRNA"
"20","ENSG00000224074",3.18954016898742,0.0226380397624753,"LINC00691","lncRNA"
"21","ENSG00000224272",3.09171403543051,0.0228304357427658,"AC131097.2","lncRNA"
"22","ENSG00000224294",4.88291307600642,1.31254958440141e-169,"PINCR","lncRNA"
"23","ENSG00000224376",2.26209848499786,0.00126147502057119,"AC017104.1","lncRNA"
"24","ENSG00000224409",3.07867672309579,0.0249022511153136,"AC114489.2","lncRNA"
"25","ENSG00000224717",3.94136674393815,0.0201048952084658,"LEMD1-DT","lncRNA"
"26","ENSG00000224745",1.58586046034997,0.00995217050619537,"AC063965.2","lncRNA"
"27","ENSG00000224818",3.33685194532615,6.83764774640652e-94,"AC096677.2","lncRNA"
"28","ENSG00000224969",1.88976441590942,0.0171865729575217,"AL645608.1","lncRNA"
"29","ENSG00000224984",2.75142356394736,0.00348429340357143,"AL512363.1","lncRNA"
"30","ENSG00000225057",1.11767499258988,0.00807535182373755,"AC012485.1","lncRNA"
"31","ENSG00000225062",1.86176061251455,4.77664924750795e-05,"CATIP-AS1","lncRNA"
"32","ENSG00000225431",4.16586155121536,0.00702263500956791,"LINC01671","lncRNA"
"33","ENSG00000225493",4.724404330346,0.00852017617838487,"LINC01107","lncRNA"
"34","ENSG00000225610",1.36527212179927,0.000170300433024784,"AC007679.2","lncRNA"
"35","ENSG00000225637",4.26210598930184,0.000718017748358712,"AP001046.1","lncRNA"
"36","ENSG00000225643",2.26097575457366,0.00999476862969567,"AL606491.1","lncRNA"
"37","ENSG00000225756",3.34349921498643,1.11838484859873e-05,"DBH-AS1","lncRNA"
"38","ENSG00000225836",2.3328687674983,0.0152390898247169,"AL157400.1","lncRNA"
"39","ENSG00000225877",4.42252330313226,0.0041157228752247,"PSG8-AS1","lncRNA"
"40","ENSG00000225905",2.7087898525095,0.00513871582164551,"AL391244.1","lncRNA"
"41","ENSG00000225931",4.35524151212358,2.51375453453438e-07,"AL139246.2","lncRNA"
"42","ENSG00000225948",3.11919998639693,0.0201898689207702,"LINC02648","lncRNA"
"43","ENSG00000225981",6.77938708636791,1.25539128850805e-06,"AC102953.1","lncRNA"
"44","ENSG00000226017",2.6761860092494,7.89066072454615e-07,"PRICKLE2-AS3","lncRNA"
"45","ENSG00000226235",5.01448840044431,1.82474406193277e-05,"LEMD1-AS1","lncRNA"
"46","ENSG00000226386",2.06875403106835,0.029318651768836,"PARD3-AS1","lncRNA"
"47","ENSG00000226416",3.87633395259071,4.0192583224603e-22,"MRPL23-AS1","lncRNA"
"48","ENSG00000226441",2.7375121306968,0.020359021091725,"PLCL2-AS1","lncRNA"
