"","Geneid","log2FC_CvsOH","padj_CvsOH","GeneSymbol","biotype"
"1","ENSG000001378082",-1.89288197147199,7.27982332553121e-08,"AC027088.1","lncRNA"
"2","ENSG00000203472",-1.00262010444175,0.000769689642223019,"AC009163.1","lncRNA"
"3","ENSG00000204588",-1.91988346428046,5.1457872431162e-06,"LINC01123","lncRNA"
"4","ENSG00000223461",-6.0903242216351,8.69627491882446e-06,"AC004471.1","lncRNA"
"5","ENSG00000223478",-1.15445645555279,3.28884753813412e-11,"AL441992.2","lncRNA"
"6","ENSG00000223947",-1.36476084157265,2.88074386531139e-11,"AC016738.1","lncRNA"
"7","ENSG00000224645",-1.1453598646248,2.09962580964795e-11,"AL391069.1","lncRNA"
"8","ENSG00000224821",-1.14973719351576,0.0243097896292569,"COL4A2-AS2","lncRNA"
"9","ENSG00000225284",-1.01939926016777,0.0329005691869731,"AC018693.1","lncRNA"
"10","ENSG00000225675",-1.99999820765173,0.0160498161676618,"LINC01771","lncRNA"
"11","ENSG00000226526",-1.93699118525464,2.95291557937564e-33,"AL049569.1","lncRNA"
"12","ENSG00000227220",-2.63787719234224,1.04357073643195e-62,"AL133346.1","lncRNA"
"13","ENSG00000227279",-1.15029859105846,1.05357386863476e-14,"AC110015.1","lncRNA"
"14","ENSG00000227744",-5.04493395265363,0.000428675690419813,"LINC01940","lncRNA"
"15","ENSG00000227896",-1.2496693454521,8.52597001901162e-05,"AL731569.1","lncRNA"
"16","ENSG00000228343",-1.44220206362444,1.80507582059222e-07,"AC115618.2","lncRNA"
"17","ENSG00000228404",-1.69736062778359,1.30016630709903e-06,"AP001468.1","lncRNA"
"18","ENSG00000228703",-1.06500656609005,2.34598067109086e-12,"AL355310.2","lncRNA"
"19","ENSG00000228838",-1.36776312207237,0.000326901059221206,"AL355483.1","lncRNA"
"20","ENSG00000229873",-1.01147093750028,0.0122641869081221,"OGFR-AS1","lncRNA"
"21","ENSG00000230163",-1.18573374064729,0.00378933820225703,"AL122010.1","lncRNA"
"22","ENSG00000230698",-1.53166626024153,7.0293714557085e-07,"AC105935.2","lncRNA"
"23","ENSG00000231864",-1.90094823286156,2.8376264671892e-42,"AL807752.3","lncRNA"
"24","ENSG00000231908",-1.28641000124912,0.00176378633274477,"IDH1-AS1","lncRNA"
"25","ENSG00000232220",-1.26416413986353,9.02521590845724e-27,"AC008440.1","lncRNA"
"26","ENSG00000232759",-1.24585434749526,0.00227590652931306,"AC002480.1","lncRNA"
"27","ENSG00000232814",-1.23881483861345,3.24866463663565e-09,"COL4A2-AS1","lncRNA"
"28","ENSG00000233110",-1.69712618563951,0.0277193187387277,"AC093797.1","lncRNA"
"29","ENSG00000233175",-1.00945000847149,1.219796661871e-13,"AC008105.1","lncRNA"
"30","ENSG00000233330",-1.33371158540111,0.000968604640563719,"AL078581.2","lncRNA"
"31","ENSG00000233589",-1.01083144902537,9.59425063649163e-19,"AL138789.1","lncRNA"
"32","ENSG00000234793",-1.18633827116649,0.0119287721443036,"AC114730.2","lncRNA"
"33","ENSG00000234961",-1.65079271992103,4.97321759228717e-112,"AL133415.1","lncRNA"
"34","ENSG00000235070",-3.40791224811046,0.0161052875602724,"AC062015.1","lncRNA"
"35","ENSG00000235180",-1.45989808906558,0.035630644200295,"LINC00601","lncRNA"
"36","ENSG00000235191",-1.04965932654831,8.87812313422807e-28,"NUCB1-AS1","lncRNA"
"37","ENSG00000235314",-2.43476530878537,2.36391423424691e-07,"LINC00957","lncRNA"
"38","ENSG00000235837",-1.56059818920384,8.1158586265769e-34,"AC073333.1","lncRNA"
"39","ENSG00000235865",-1.19532179951177,2.3890137379025e-08,"GSN-AS1","lncRNA"
"40","ENSG00000235897",-1.48778797184887,6.50743162445367e-18,"TM4SF19-AS1","lncRNA"
"41","ENSG00000236662",-1.75495839400577,0.00623262597137556,"AL133215.1","lncRNA"
"42","ENSG00000236663",-1.86583722257933,0.00193482730311129,"FRGCA","lncRNA"
"43","ENSG00000237015",-1.56572314014335,0.00461847317622298,"AL031186.1","lncRNA"
"44","ENSG00000237250",-3.24376270243396,0.0195899053340256,"AL359924.1","lncRNA"
"45","ENSG00000237548",-2.7867728207649,2.64876756497583e-07,"TTLL11-IT1","lncRNA"
"46","ENSG00000237655",-1.00974731890432,0.0338425394022391,"AC073834.1","lncRNA"
"47","ENSG00000237768",-1.3280361917667,5.07308430124419e-13,"AL731563.3","lncRNA"
"48","ENSG00000238258",-1.9198674563948,1.49149973141685e-28,"AL121748.1","lncRNA"
"49","ENSG00000239219",-1.91454352190222,0.0406636877885996,"AC008040.1","lncRNA"
"50","ENSG00000239415",-1.60998112703434,5.51854071069707e-09,"AP001469.3","lncRNA"
"51","ENSG00000240032",-1.66815533918394,0.000810601087662197,"LNCSRLR","lncRNA"
"52","ENSG00000240963",-1.2111374960393,4.27086717778983e-18,"AL645465.1","lncRNA"
"53","ENSG00000242396",-2.20742243485408,4.32550668667214e-46,"AC096536.2","lncRNA"
"54","ENSG00000243224",-1.94490075862851,0.00145997592959983,"AC006252.1","lncRNA"
"55","ENSG00000243960",-1.06738760936194,4.09532102493243e-44,"AL390195.2","lncRNA"
"56","ENSG00000244124",-3.03166353204081,0.0253757684466145,"ATP1B3-AS1","lncRNA"
"57","ENSG00000244161",-1.50253716781897,1.34961747388951e-50,"FLNB-AS1","lncRNA"
