"","Geneid","log2FC_CvsOH","padj_CvsOH","GeneSymbol","biotype"
"1","ENSG00000164621",1.66140215278371,0.000695649112598816,"SMAD5-AS1","lncRNA"
"2","ENSG00000177699",2.42236421388909,2.96611205363937e-06,"AC011944.1","lncRNA"
"3","ENSG00000178977",3.38129853187926,3.6991315591348e-38,"LINC00324","lncRNA"
"4","ENSG00000187229",1.68093074596572,2.3996308659096e-10,"AC100800.1","lncRNA"
"5","ENSG00000188365",2.29299937942049,0.0331594574330564,"AC092171.1","lncRNA"
"6","ENSG00000189316",4.08463151549623,0.0210920534109079,"AC073349.1","lncRNA"
"7","ENSG00000198358",4.36248636690352,0.0127730027716454,"AL354714.1","lncRNA"
"8","ENSG00000203258",2.57332128707318,0.0448399395759235,"AC013549.1","lncRNA"
"9","ENSG00000203362",2.30399867152788,1.89874619317491e-16,"POLH-AS1","lncRNA"
"10","ENSG00000204584",1.40246394169291,0.00355078388358272,"AC027801.1","lncRNA"
"11","ENSG00000204666",5.28111049418457,3.11252553578033e-39,"AC010624.1","lncRNA"
"12","ENSG00000205537",1.28528641364133,0.0256552281903636,"AC121338.1","lncRNA"
"13","ENSG00000205890",1.48679775236683,0.0231444454542831,"AC108134.1","lncRNA"
"14","ENSG00000211683",2.30220175971139,0.0157756730079933,"AP000346.1","lncRNA"
"15","ENSG00000212663",4.62088743248902,0.00975253975274073,"AC003035.1","lncRNA"
"16","ENSG00000214184",1.00238273914509,6.31272462972383e-06,"GCC2-AS1","lncRNA"
"17","ENSG00000214772",4.1808968945684,0.00926566284446829,"AC010168.1","lncRNA"
"18","ENSG00000217576",1.4405738323108,7.98264096194988e-40,"AL158066.1","lncRNA"
"19","ENSG00000222044",3.34019856602813,0.0185185851250697,"AL031587.1","lncRNA"
"20","ENSG00000223356",3.02859510383815,0.0363250786262031,"AL590666.1","lncRNA"
"21","ENSG00000223432",4.94968455802639,0.00925750153001165,"AC009988.1","lncRNA"
"22","ENSG00000223764",3.97092282182419,0.0483198541254257,"LINC02593","lncRNA"
"23","ENSG00000223783",3.22463545811883,0.0120662738871522,"LINC01983","lncRNA"
"24","ENSG00000223979",3.55202109230434,0.0186281609296169,"SMCR2","lncRNA"
"25","ENSG00000224020",1.4170735468678,0.00702567050123406,"MIR181A2HG","lncRNA"
"26","ENSG00000224074",3.01721114216245,0.0363201541848513,"LINC00691","lncRNA"
"27","ENSG00000224272",2.84394410036279,0.0438544983781133,"AC131097.2","lncRNA"
"28","ENSG00000224294",4.78648155965694,5.70093855898855e-161,"PINCR","lncRNA"
"29","ENSG00000224376",1.64934344451842,0.0296741121962341,"AC017104.1","lncRNA"
"30","ENSG00000224409",2.97792224321991,0.0348118528054728,"AC114489.2","lncRNA"
"31","ENSG00000224717",4.81575382217674,0.0036810126559053,"LEMD1-DT","lncRNA"
"32","ENSG00000224745",1.97573586907741,0.00129325990489832,"AC063965.2","lncRNA"
"33","ENSG00000224818",3.44947227035766,1.26835968885135e-98,"AC096677.2","lncRNA"
"34","ENSG00000224969",2.28908893041482,0.00383508712499456,"AL645608.1","lncRNA"
"35","ENSG00000224984",2.14910288814722,0.0343362242518584,"AL512363.1","lncRNA"
"36","ENSG00000225062",2.41616449600955,1.07350039996129e-07,"CATIP-AS1","lncRNA"
"37","ENSG00000225156",3.62018898480118,0.0128036630574723,"AC012354.1","lncRNA"
"38","ENSG00000225431",3.7947608282272,0.0177381270826433,"LINC01671","lncRNA"
"39","ENSG00000225521",3.0977074843472,0.0458537367718563,"AC005237.1","lncRNA"
"40","ENSG00000225610",1.59971445545374,1.29176586252147e-05,"AC007679.2","lncRNA"
"41","ENSG00000225637",2.8207453519541,0.0414513100064009,"AP001046.1","lncRNA"
"42","ENSG00000225643",2.29664573354385,0.0110270047199924,"AL606491.1","lncRNA"
"43","ENSG00000225756",2.87353886949603,0.000315589193396765,"DBH-AS1","lncRNA"
"44","ENSG00000225836",2.02236862517656,0.0460745776462447,"AL157400.1","lncRNA"
"45","ENSG00000225877",4.3224084094907,0.00586868496385057,"PSG8-AS1","lncRNA"
"46","ENSG00000225905",2.09043434201308,0.0451115273494422,"AL391244.1","lncRNA"
"47","ENSG00000225931",4.60239116796684,5.6673502871746e-08,"AL139246.2","lncRNA"
"48","ENSG00000225948",3.46424877440282,0.00993739646881152,"LINC02648","lncRNA"
"49","ENSG00000225981",6.58924455219728,3.05501739972618e-06,"AC102953.1","lncRNA"
"50","ENSG00000225988",4.61897607753109,0.0145897814313239,"LAMP5-AS1","lncRNA"
"51","ENSG00000226017",1.92170991702906,0.00114846801189627,"PRICKLE2-AS3","lncRNA"
"52","ENSG00000226235",4.09878565765591,0.000751337343511427,"LEMD1-AS1","lncRNA"
"53","ENSG00000226416",4.1392337067074,9.29997041021824e-25,"MRPL23-AS1","lncRNA"
