# Program:featureCounts v1.6.2; Command:"featureCounts" "-a" "/rhome/cahme002/bigdata/lncRNA/annotation/gencode.v19.long_noncoding_RNAs.gtf" "-o" "/rhome/cahme002/bigdata/lncRNA/count_file/count_file.csv" "-T" "9" "-t" "exon" "-g" "gene_id" "/rhome/cahme002/bigdata/lncRNA/bam_file/flowcell974_lane1_pair1_ACAGTG.fastq.gz.trimmed.sam.sort.bam" "/rhome/cahme002/bigdata/lncRNA/bam_file/flowcell974_lane1_pair1_ATCACG.fastq.gz.trimmed.sam.sort.bam" "/rhome/cahme002/bigdata/lncRNA/bam_file/flowcell974_lane1_pair1_CAGATC.fastq.gz.trimmed.sam.sort.bam" "/rhome/cahme002/bigdata/lncRNA/bam_file/flowcell974_lane1_pair1_CGATGT.fastq.gz.trimmed.sam.sort.bam" "/rhome/cahme002/bigdata/lncRNA/bam_file/flowcell974_lane1_pair1_CTTGTA.fastq.gz.trimmed.sam.sort.bam" "/rhome/cahme002/bigdata/lncRNA/bam_file/flowcell974_lane1_pair1_GCCAAT.fastq.gz.trimmed.sam.sort.bam" "/rhome/cahme002/bigdata/lncRNA/bam_file/flowcell974_lane1_pair1_GGCTAC.fastq.gz.trimmed.sam.sort.bam" "/rhome/cahme002/bigdata/lncRNA/bam_file/flowcell974_lane1_pair1_TAGCTT.fastq.gz.trimmed.sam.sort.bam" "/rhome/cahme002/bigdata/lncRNA/bam_file/flowcell974_lane1_pair1_TTAGGC.fastq.gz.trimmed.sam.sort.bam" 
Geneid	Chr	Start	End	Strand	Length	/rhome/cahme002/bigdata/lncRNA/bam_file/flowcell974_lane1_pair1_ACAGTG.fastq.gz.trimmed.sam.sort.bam	/rhome/cahme002/bigdata/lncRNA/bam_file/flowcell974_lane1_pair1_ATCACG.fastq.gz.trimmed.sam.sort.bam	/rhome/cahme002/bigdata/lncRNA/bam_file/flowcell974_lane1_pair1_CAGATC.fastq.gz.trimmed.sam.sort.bam	/rhome/cahme002/bigdata/lncRNA/bam_file/flowcell974_lane1_pair1_CGATGT.fastq.gz.trimmed.sam.sort.bam	/rhome/cahme002/bigdata/lncRNA/bam_file/flowcell974_lane1_pair1_CTTGTA.fastq.gz.trimmed.sam.sort.bam	/rhome/cahme002/bigdata/lncRNA/bam_file/flowcell974_lane1_pair1_GCCAAT.fastq.gz.trimmed.sam.sort.bam	/rhome/cahme002/bigdata/lncRNA/bam_file/flowcell974_lane1_pair1_GGCTAC.fastq.gz.trimmed.sam.sort.bam	/rhome/cahme002/bigdata/lncRNA/bam_file/flowcell974_lane1_pair1_TAGCTT.fastq.gz.trimmed.sam.sort.bam	/rhome/cahme002/bigdata/lncRNA/bam_file/flowcell974_lane1_pair1_TTAGGC.fastq.gz.trimmed.sam.sort.bam
ENSG00000243485.2	chr1;chr1;chr1;chr1;chr1;chr1	29554;30267;30366;30564;30976;30976	30039;30667;30503;30667;31109;31097	+;+;+;+;+;+	1021	0	0	0	0	0	0	0	0	0
ENSG00000237613.2	chr1;chr1;chr1;chr1;chr1	34554;35245;35277;35721;35721	35174;35481;35481;36073;36081	-;-;-;-;-	1219	0	0	0	0	0	0	0	0	0
ENSG00000238009.2	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	89295;92091;92230;110953;112700;112700;112700;120721;120775;129055;129055;129081;133374	91629;92240;92240;111357;112804;112804;112804;120932;120932;129173;129217;129223;133566	-;-;-;-;-;-;-;-;-;-;-;-;-	3569	0	0	2	1	3	2	4	2	0
ENSG00000239945.1	chr1;chr1	89551;90287	90050;91105	-;-	1319	0	0	0	0	0	0	0	0	0
ENSG00000239906.1	chr1;chr1	139790;140075	139847;140339	-;-	323	0	0	0	0	0	0	0	0	0
ENSG00000241860.2	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	141474;142808;146386;146386;146386;146642;155767;164263;165884;165889;168100;168100;168610;169049;172557;173753	143011;143011;146509;146509;149707;146831;155831;164791;165942;165942;168165;168165;168767;169264;172688;173862	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	6195	2	7	6	5	3	8	4	0	2
ENSG00000241599.1	chr1;chr1	160446;161314	160690;161525	+;+	457	0	1	1	1	0	0	0	0	0
ENSG00000228463.4	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	227615;227895;234355;236112;237054;238418;238418;257268;259017;259017;267096	228776;228776;234484;237955;237955;238567;238558;257672;259121;259121;267253	-;-;-;-;-;-;-;-;-;-;-	3954	22	15	43	25	13	23	10	43	9
ENSG00000237094.7	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	317720;317730;319968;320162;320162;320335;320881;320881;320881;321032;321032;321032;322038;322038;322038;322078;322672;323861;324288;324288;324288;324439;324439;324751;324756;327552;329784;334129;334129;334129;334129;342392;439365;439467;446014;446014;450887;453217;453645;453645;453645	317781;317781;320353;320653;320653;320653;320938;320938;320938;321290;321264;321056;322203;322097;322228;322228;323073;324060;324345;324345;324345;324461;324873;324955;326514;328453;329976;334297;334505;334271;334297;342806;439568;439568;446155;446193;451086;453318;453948;453942;453722	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	6869	0	0	1	0	0	2	1	0	0
ENSG00000236601.1	chr1;chr1;chr1;chr1	453633;453827;460380;460408	454166;454166;460465;460480	-;-;-;-	635	0	0	0	0	0	0	0	0	0
ENSG00000236743.1	chr1;chr1;chr1	459656;461154;461751	459992;461288;461954	+;+;+	676	0	0	0	0	0	0	0	0	0
ENSG00000231709.1	chr1;chr1;chr1	521369;522201;523497	521738;522335;523833	-;-;-	842	0	0	0	1	0	0	0	0	0
ENSG00000235146.2	chr1;chr1;chr1;chr1	523009;523048;529615;529615	523081;523109;530148;529954	+;+;+;+	635	0	0	0	1	0	0	0	0	0
ENSG00000239664.2	chr1;chr1;chr1;chr1	529833;529839;530463;532679	530136;530136;530597;532878	-;-;-;-	639	0	0	0	1	0	0	0	0	0
ENSG00000230021.3	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	536816;543335;637316;639065;639065;646722;647091;655412;655412;655412;655412;655438;659738	536957;543436;637720;639169;639169;647302;647302;655574;655530;655580;655580;655580;659930	-;-;-;-;-;-;-;-;-;-;-;-;-	1697	0	1	0	0	1	0	0	0	0
ENSG00000223659.1	chr1;chr1;chr1	562757;563341;564299	563203;563603;564390	-;-;-	802	0	1	0	4	0	0	0	0	1
ENSG00000235373.1	chr1;chr1	677193;682075	678730;685396	-;-	4860	0	1	2	0	1	0	0	0	0
ENSG00000240618.1	chr1;chr1	694412;700103	694503;700305	-;-	295	1	1	0	0	0	0	0	0	0
ENSG00000229905.1	chr1;chr1	696291;697158	696534;697369	+;+	456	0	0	0	0	0	0	0	0	0
ENSG00000228327.2	chr1;chr1;chr1;chr1;chr1;chr1;chr1	700237;701709;703928;704877;708356;709551;713664	700627;701767;703993;705092;708487;709660;714006	-;-;-;-;-;-;-	1317	3	7	11	1	1	8	5	0	1
