Rank,Ensemble ID,Name,Position (hg19),MinEnergy,Binding site(query),Binding site(target),location,SumEnergy,lncRNA,Name_lncRNA
1,ENST00000377022,CASZ1,chr1:10696662-10856705 ,-162.2,1450-1540,3666-3756,CDS,-14463.9,ENST00000606802,ENSG00000272078.1
,,,,,,,,,ENST00000606802,ENSG00000272078.1
2,ENST00000358273,NF1,chr17:29421946-29704695 ,-79.4,3544-3609,271-336,UTR5,-9203.6,ENST00000606802,ENSG00000272078.1
,,,,,,,,,ENST00000606802,ENSG00000272078.1
3,ENST00000356628,NRARP,chr9:140194084-140196703 ,-77.7,3528-3609,1405-1486,UTR3,-2828.7,ENST00000606802,ENSG00000272078.1
,,,,,,,,,ENST00000606802,ENSG00000272078.1
4,ENST00000400613,C9orf152,chr9:112961842-112970469 ,-76.1,3525-3609,173-257,UTR5,-3727.8,ENST00000606802,ENSG00000272078.1
,,,,,,,,,ENST00000606802,ENSG00000272078.1
5,ENST00000376772,PPP1R11,chr6:30034866-30038110 ,-75.9,4895-4942,631-678,CDS,-2683.5,ENST00000606802,ENSG00000272078.1
,,,,,,,,,ENST00000606802,ENSG00000272078.1
6,ENST00000355300,LINGO1,chr15:77905370-77924832 ,-75.5,3544-3604,2137-2197,UTR3,-3415.7,ENST00000606802,ENSG00000272078.1
,,,,,,,,,ENST00000606802,ENSG00000272078.1
7,ENST00000355815,SREBF1,chr17:17715388-17740301 ,-74.5,4895-4942,535-582,CDS,-3383.4,ENST00000606802,ENSG00000272078.1
,,,,,,,,,ENST00000606802,ENSG00000272078.1
8,ENST00000372718,SMAP2,chr1:40839370-40888998 ,-74.3,3545-3609,1738-1802,UTR3,-3028.6,ENST00000606802,ENSG00000272078.1
,,,,,,,,,ENST00000606802,ENSG00000272078.1
9,ENST00000397621,FBXL16,chr16:742501-755829 ,-72.8,4895-4942,2858-2905,UTR3,-3143.1,ENST00000606802,ENSG00000272078.1
,,,,,,,,,ENST00000606802,ENSG00000272078.1
10,ENST00000348225,PTN,chr7:136912089-137028611 ,-72.4,3526-3606,72-152,UTR5,-1616.5,ENST00000606802,ENSG00000272078.1
,,,,,,,,,ENST00000606802,ENSG00000272078.1
11,ENST00000267116,ANKRD52,chr12:56631592-56652175 ,-72.2,4895-4942,4045-4092,UTR3,-11766.6,ENST00000606802,ENSG00000272078.1
,,,,,,,,,ENST00000606802,ENSG00000272078.1
